Year	Location	Name	Label	NC_Accession	Rating	Disease
2012	LEW	ATP-T	Advanced Testing Program - TSWV	Bailey II	TSWV	0.1123
2013	LEW	ATP-T	Advanced Testing Program - TSWV	Bailey II	TSWV	0.0722
2014	LEW	ATP-T	Advanced Testing Program - TSWV	Bailey II	TSWV	0.1477
2015	LEW	ATP-T	Advanced Testing Program - TSWV	Bailey II	TSWV	0.0705
2016	LEW	ATP-T	Advanced Testing Program - TSWV	Bailey II	TSWV	0.1664
2017	LEW	ATP-T	Advanced Testing Program - TSWV	Bailey II	TSWV	0.0656
2018	LEW	ATP-T	Advanced Testing Program - TSWV	Bailey II	TSWV	0.08236
2018	LEW	ATP-T	Advanced Testing Program - TSWV	Bailey II	TSWV	0.1431
2012	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Bailey II	SB	0.5927
2013	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Bailey II	SB	0.5121
2014	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Bailey II	SB	0.3083
2015	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Bailey II	SB	0.5356
2016	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Bailey II	SB	0.7965
2017	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Bailey II	SB	0.450432857
2018	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Bailey II	SB	0.3245
2018	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Bailey II	SB	0.08333
2010	LEW	ATP-L	Advanced Testing Program - Leafspot	Brantley	LS	3
2011	LEW	ATP-L	Advanced Testing Program - Leafspot	Brantley	LS	8.19
2014	LEW	ATP-L	Advanced Testing Program - Leafspot	Brantley	LS	7.84
2010	LEW	ATP-L	Advanced Testing Program - Leafspot	Brantley	Yield_UT	3252
2011	LEW	ATP-L	Advanced Testing Program - Leafspot	Brantley	Yield_UT	1021
2014	LEW	ATP-L	Advanced Testing Program - Leafspot	Brantley	Yield_UT	1943
2010	LEW	ATP-T	Advanced Testing Program - TSWV	Brantley	TSWV	0.715
2011	LEW	ATP-T	Advanced Testing Program - TSWV	Brantley	TSWV	0.7712
2014	LEW	ATP-T	Advanced Testing Program - TSWV	Brantley	TSWV	0.1694
2010	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Brantley	SB	0.9524
2011	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Brantley	SB	1
2014	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Brantley	SB	0.4778
2010	LEW	ATP-L	Advanced Testing Program - Leafspot	CHAMPS	LS	3
2011	LEW	ATP-L	Advanced Testing Program - Leafspot	CHAMPS	LS	8.44
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	CHAMPS	LS	2.5
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	CHAMPS	LS	2
2014	LEW	ATP-L	Advanced Testing Program - Leafspot	CHAMPS	LS	6.5
2010	LEW	ATP-L	Advanced Testing Program - Leafspot	CHAMPS	Yield_UT	4696
2011	LEW	ATP-L	Advanced Testing Program - Leafspot	CHAMPS	Yield_UT	1591
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	CHAMPS	Yield_UT	1399
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	CHAMPS	Yield_UT	3142
2014	LEW	ATP-L	Advanced Testing Program - Leafspot	CHAMPS	Yield_UT	2154
2010	LEW	ATP-T	Advanced Testing Program - TSWV	CHAMPS	TSWV	0.5887
2011	LEW	ATP-T	Advanced Testing Program - TSWV	CHAMPS	TSWV	0.6354
2012	LEW	ATP-T	Advanced Testing Program - TSWV	CHAMPS	TSWV	0.2304
2012	LEW	ATP-T	Advanced Testing Program - TSWV	CHAMPS	TSWV	0.1916
2014	LEW	ATP-T	Advanced Testing Program - TSWV	CHAMPS	TSWV	0.1831
2010	RMT	ATP-S	Advanced Testing Program - Sclerotinia	CHAMPS	SB	0.9744
2011	RMT	ATP-S	Advanced Testing Program - Sclerotinia	CHAMPS	SB	0.8611
2012	RMT	ATP-S	Advanced Testing Program - Sclerotinia	CHAMPS	SB	0.6334
2012	RMT	ATP-S	Advanced Testing Program - Sclerotinia	CHAMPS	SB	0.7579
2014	RMT	ATP-S	Advanced Testing Program - Sclerotinia	CHAMPS	SB	1
2010	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-005	LS	1
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-005	LS	1.5
2010	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-005	Yield_UT	3524
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-005	Yield_UT	2461
2010	LEW	ATP-T	Advanced Testing Program - TSWV	CRSP 1050-005	TSWV	0.5371
2012	LEW	ATP-T	Advanced Testing Program - TSWV	CRSP 1050-005	TSWV	0.0432
2012	RMT	ATP-S	Advanced Testing Program - Sclerotinia	CRSP 1050-005	SB	0.7996
2010	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-026	LS	2
2011	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-026	LS	4.38
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-026	LS	2
2010	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-026	Yield_UT	3933
2011	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-026	Yield_UT	2756
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-026	Yield_UT	2789
2010	LEW	ATP-T	Advanced Testing Program - TSWV	CRSP 1050-026	TSWV	0.2032
2011	LEW	ATP-T	Advanced Testing Program - TSWV	CRSP 1050-026	TSWV	0.4129
2012	LEW	ATP-T	Advanced Testing Program - TSWV	CRSP 1050-026	TSWV	0.1692
2011	RMT	ATP-S	Advanced Testing Program - Sclerotinia	CRSP 1050-026	SB	0.8519
2012	RMT	ATP-S	Advanced Testing Program - Sclerotinia	CRSP 1050-026	SB	0.9084
2010	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-048	LS	2
2011	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-048	LS	5.94
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-048	LS	2
2013	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-048	LS	1.5
2010	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-048	Yield_UT	3403
2011	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-048	Yield_UT	1696
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-048	Yield_UT	3179
2013	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-048	Yield_UT	3759
2010	LEW	ATP-T	Advanced Testing Program - TSWV	CRSP 1050-048	TSWV	0.3485
2011	LEW	ATP-T	Advanced Testing Program - TSWV	CRSP 1050-048	TSWV	0.426
2012	LEW	ATP-T	Advanced Testing Program - TSWV	CRSP 1050-048	TSWV	0.1774
2013	LEW	ATP-T	Advanced Testing Program - TSWV	CRSP 1050-048	TSWV	0.1319
2011	RMT	ATP-S	Advanced Testing Program - Sclerotinia	CRSP 1050-048	SB	0.9167
2012	RMT	ATP-S	Advanced Testing Program - Sclerotinia	CRSP 1050-048	SB	0.6949
2013	RMT	ATP-S	Advanced Testing Program - Sclerotinia	CRSP 1050-048	SB	0.5741
2010	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-099	LS	2
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-099	LS	2
2010	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-099	Yield_UT	3517
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-099	Yield_UT	2943
2010	LEW	ATP-T	Advanced Testing Program - TSWV	CRSP 1050-099	TSWV	0.4824
2012	LEW	ATP-T	Advanced Testing Program - TSWV	CRSP 1050-099	TSWV	0.1167
2012	RMT	ATP-S	Advanced Testing Program - Sclerotinia	CRSP 1050-099	SB	0.7419
2010	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-110	LS	2
2011	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-110	LS	4.38
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-110	LS	2
2013	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-110	LS	1.5
2010	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-110	Yield_UT	3615
2011	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-110	Yield_UT	3519
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-110	Yield_UT	3102
2013	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 1050-110	Yield_UT	2995
2010	LEW	ATP-T	Advanced Testing Program - TSWV	CRSP 1050-110	TSWV	0.4408
2011	LEW	ATP-T	Advanced Testing Program - TSWV	CRSP 1050-110	TSWV	0.2405
2012	LEW	ATP-T	Advanced Testing Program - TSWV	CRSP 1050-110	TSWV	0.1587
2013	LEW	ATP-T	Advanced Testing Program - TSWV	CRSP 1050-110	TSWV	0.0704
2011	RMT	ATP-S	Advanced Testing Program - Sclerotinia	CRSP 1050-110	SB	0.7778
2012	RMT	ATP-S	Advanced Testing Program - Sclerotinia	CRSP 1050-110	SB	0.965
2013	RMT	ATP-S	Advanced Testing Program - Sclerotinia	CRSP 1050-110	SB	0.6667
2010	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 702	LS	1.5
2010	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 702	LS	1.97
2011	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 702	LS	5.13
2010	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 702	Yield_UT	2844
2010	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 702	Yield_UT	2828
2011	LEW	ATP-L	Advanced Testing Program - Leafspot	CRSP 702	Yield_UT	2533
2010	LEW	ATP-T	Advanced Testing Program - TSWV	CRSP 702	TSWV	0.3165
2010	LEW	ATP-T	Advanced Testing Program - TSWV	CRSP 702	TSWV	0.3258
2011	LEW	ATP-T	Advanced Testing Program - TSWV	CRSP 702	TSWV	0.476
2010	RMT	ATP-S	Advanced Testing Program - Sclerotinia	CRSP 702	SB	0.7385
2011	RMT	ATP-S	Advanced Testing Program - Sclerotinia	CRSP 702	SB	1
2011	LEW	ATP-L	Advanced Testing Program - Leafspot	Emery	LS	7.72
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	Emery	LS	2
2013	LEW	ATP-L	Advanced Testing Program - Leafspot	Emery	LS	4
2014	LEW	ATP-L	Advanced Testing Program - Leafspot	Emery	LS	6.5
2015	LEW	ATP-L	Advanced Testing Program - Leafspot	Emery	LS	6.5
2015	LEW	ATP-L	Advanced Testing Program - Leafspot	Emery	LS	5.96
2016	LEW	ATP-L	Advanced Testing Program - Leafspot	Emery	LS	6
2016	LEW	ATP-L	Advanced Testing Program - Leafspot	Emery	LS	6
2017	LEW	ATP-L	Advanced Testing Program - Leafspot	Emery	LS	8.11
2017	LEW	ATP-L	Advanced Testing Program - Leafspot	Emery	LS	8
2018	LEW	ATP-L	Advanced Testing Program - Leafspot	Emery	LS	6
2018	LEW	ATP-L	Advanced Testing Program - Leafspot	Emery	LS	6.28
2011	LEW	ATP-L	Advanced Testing Program - Leafspot	Emery	Yield_UT	3481
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	Emery	Yield_UT	4510
2013	LEW	ATP-L	Advanced Testing Program - Leafspot	Emery	Yield_UT	3766
2014	LEW	ATP-L	Advanced Testing Program - Leafspot	Emery	Yield_UT	1462
2015	LEW	ATP-L	Advanced Testing Program - Leafspot	Emery	Yield_UT	3221
2015	LEW	ATP-L	Advanced Testing Program - Leafspot	Emery	Yield_UT	3824
2016	LEW	ATP-L	Advanced Testing Program - Leafspot	Emery	Yield_UT	2975.520833
2016	LEW	ATP-L	Advanced Testing Program - Leafspot	Emery	Yield_UT	2975.520833
2017	LEW	ATP-L	Advanced Testing Program - Leafspot	Emery	Yield_UT	2451
2017	LEW	ATP-L	Advanced Testing Program - Leafspot	Emery	Yield_UT	2711
2018	LEW	ATP-L	Advanced Testing Program - Leafspot	Emery	Yield_UT	1353.6875
2018	LEW	ATP-L	Advanced Testing Program - Leafspot	Emery	Yield_UT	2975.520833
2011	LEW	ATP-T	Advanced Testing Program - TSWV	Emery	TSWV	0.1472
2012	LEW	ATP-T	Advanced Testing Program - TSWV	Emery	TSWV	0.1097
2013	LEW	ATP-T	Advanced Testing Program - TSWV	Emery	TSWV	0.1759
2014	LEW	ATP-T	Advanced Testing Program - TSWV	Emery	TSWV	0.1627
2015	LEW	ATP-T	Advanced Testing Program - TSWV	Emery	TSWV	0.3376
2015	LEW	ATP-T	Advanced Testing Program - TSWV	Emery	TSWV	0.2837
2016	LEW	ATP-T	Advanced Testing Program - TSWV	Emery	TSWV	0.1138
2016	LEW	ATP-T	Advanced Testing Program - TSWV	Emery	TSWV	0.2604
2017	LEW	ATP-T	Advanced Testing Program - TSWV	Emery	TSWV	0.1291
2017	LEW	ATP-T	Advanced Testing Program - TSWV	Emery	TSWV	0.0968
2018	LEW	ATP-T	Advanced Testing Program - TSWV	Emery	TSWV	0.08735
2018	LEW	ATP-T	Advanced Testing Program - TSWV	Emery	TSWV	0.1791
2011	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Emery	SB	0.9667
2012	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Emery	SB	0.4832
2013	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Emery	SB	0.875
2014	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Emery	SB	0.4778
2015	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Emery	SB	1.0396
2015	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Emery	SB	0.6394
2016	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Emery	SB	1
2016	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Emery	SB	0.9776
2017	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Emery	SB	0.7273
2017	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Emery	SB	0.7273
2018	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Emery	SB	0.147
2018	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Emery	SB	0.6667
2010	LEW	ATP-L	Advanced Testing Program - Leafspot	Florida Fancy	LS	2.5
2011	LEW	ATP-L	Advanced Testing Program - Leafspot	Florida Fancy	LS	7.19
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	Florida Fancy	LS	2
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	Florida Fancy	LS	2
2010	LEW	ATP-L	Advanced Testing Program - Leafspot	Florida Fancy	Yield_UT	4893
2011	LEW	ATP-L	Advanced Testing Program - Leafspot	Florida Fancy	Yield_UT	2176
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	Florida Fancy	Yield_UT	2730
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	Florida Fancy	Yield_UT	3756
2010	LEW	ATP-T	Advanced Testing Program - TSWV	Florida Fancy	TSWV	0.3966
2011	LEW	ATP-T	Advanced Testing Program - TSWV	Florida Fancy	TSWV	0.6142
2012	LEW	ATP-T	Advanced Testing Program - TSWV	Florida Fancy	TSWV	0.1399
2012	LEW	ATP-T	Advanced Testing Program - TSWV	Florida Fancy	TSWV	0.1553
2010	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Florida Fancy	SB	0.6244
2011	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Florida Fancy	SB	1
2012	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Florida Fancy	SB	0.1954
2012	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Florida Fancy	SB	0.295
2011	LEW	ATP-L	Advanced Testing Program - Leafspot	Florida-07	LS	6.69
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	Florida-07	LS	2
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	Florida-07	LS	2
2011	LEW	ATP-L	Advanced Testing Program - Leafspot	Florida-07	Yield_UT	3106
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	Florida-07	Yield_UT	2563
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	Florida-07	Yield_UT	3230
2011	LEW	ATP-T	Advanced Testing Program - TSWV	Florida-07	TSWV	0.1223
2012	LEW	ATP-T	Advanced Testing Program - TSWV	Florida-07	TSWV	0.14
2012	LEW	ATP-T	Advanced Testing Program - TSWV	Florida-07	TSWV	0.0817
2011	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Florida-07	SB	1
2012	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Florida-07	SB	0.5989
2012	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Florida-07	SB	0.6163
2011	LEW	ATP-L	Advanced Testing Program - Leafspot	FloriGiant	LS	8.56
2011	LEW	ATP-L	Advanced Testing Program - Leafspot	FloriGiant	Yield_UT	625
2011	LEW	ATP-T	Advanced Testing Program - TSWV	FloriGiant	TSWV	0.9106
2011	RMT	ATP-S	Advanced Testing Program - Sclerotinia	FloriGiant	SB	1
2010	LEW	ATP-L	Advanced Testing Program - Leafspot	Georgia Green	LS	2.5
2011	LEW	ATP-L	Advanced Testing Program - Leafspot	Georgia Green	LS	8.25
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	Georgia Green	LS	2
2014	LEW	ATP-L	Advanced Testing Program - Leafspot	Georgia Green	LS	7.5
2010	LEW	ATP-L	Advanced Testing Program - Leafspot	Georgia Green	Yield_UT	3078
2011	LEW	ATP-L	Advanced Testing Program - Leafspot	Georgia Green	Yield_UT	2054
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	Georgia Green	Yield_UT	3649
2014	LEW	ATP-L	Advanced Testing Program - Leafspot	Georgia Green	Yield_UT	1536
2010	LEW	ATP-T	Advanced Testing Program - TSWV	Georgia Green	TSWV	0.8381
2011	LEW	ATP-T	Advanced Testing Program - TSWV	Georgia Green	TSWV	0.5369
2012	LEW	ATP-T	Advanced Testing Program - TSWV	Georgia Green	TSWV	0.2729
2014	LEW	ATP-T	Advanced Testing Program - TSWV	Georgia Green	TSWV	0.2375
2010	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Georgia Green	SB	0.8516
2011	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Georgia Green	SB	0.9524
2012	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Georgia Green	SB	0.4958
2014	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Georgia Green	SB	0.875
2013	LEW	ATP-L	Advanced Testing Program - Leafspot	Georgia-06G	LS	5.5
2014	LEW	ATP-L	Advanced Testing Program - Leafspot	Georgia-06G	LS	7.5
2016	LEW	ATP-L	Advanced Testing Program - Leafspot	Georgia-06G	LS	3
2013	LEW	ATP-L	Advanced Testing Program - Leafspot	Georgia-06G	Yield_UT	3010
2014	LEW	ATP-L	Advanced Testing Program - Leafspot	Georgia-06G	Yield_UT	1699
2016	LEW	ATP-L	Advanced Testing Program - Leafspot	Georgia-06G	Yield_UT	2354.5
2013	LEW	ATP-T	Advanced Testing Program - TSWV	Georgia-06G	TSWV	0.2672
2014	LEW	ATP-T	Advanced Testing Program - TSWV	Georgia-06G	TSWV	0.27
2016	LEW	ATP-T	Advanced Testing Program - TSWV	Georgia-06G	TSWV	0.2636
2013	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Georgia-06G	SB	0.8333
2014	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Georgia-06G	SB	1
2016	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Georgia-06G	SB	0.8571
2013	LEW	ATP-L	Advanced Testing Program - Leafspot	Georgia-07W	LS	3.5
2013	LEW	ATP-L	Advanced Testing Program - Leafspot	Georgia-07W	LS	3
2014	LEW	ATP-L	Advanced Testing Program - Leafspot	Georgia-07W	LS	6
2013	LEW	ATP-L	Advanced Testing Program - Leafspot	Georgia-07W	Yield_UT	3917
2013	LEW	ATP-L	Advanced Testing Program - Leafspot	Georgia-07W	Yield_UT	3902
2014	LEW	ATP-L	Advanced Testing Program - Leafspot	Georgia-07W	Yield_UT	2994
2013	LEW	ATP-T	Advanced Testing Program - TSWV	Georgia-07W	TSWV	0.1566
2013	LEW	ATP-T	Advanced Testing Program - TSWV	Georgia-07W	TSWV	0.1995
2014	LEW	ATP-T	Advanced Testing Program - TSWV	Georgia-07W	TSWV	0.0781
2013	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Georgia-07W	SB	0.9722
2013	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Georgia-07W	SB	0.4799
2014	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Georgia-07W	SB	0.8056
2013	LEW	ATP-L	Advanced Testing Program - Leafspot	Georgia-09B	LS	6
2013	LEW	ATP-L	Advanced Testing Program - Leafspot	Georgia-09B	Yield_UT	2314
2013	LEW	ATP-T	Advanced Testing Program - TSWV	Georgia-09B	TSWV	0.2363
